JS187_JS16_5E-5_H2O_100_0_100EQ+60MIN,,
Wavelength (nm),Abs,
800,0.05291019008,
799,0.05382360518,
798,0.05333615839,
797,0.05292954668,
796,0.05362724513,
795,0.05474916846,
794,0.05427869037,
793,0.05447886884,
792,0.0546730347,
791,0.05474578962,
790,0.05440131575,
789,0.05513241887,
788,0.05445612594,
787,0.05483820662,
786,0.05503306165,
785,0.05543573946,
784,0.05587720498,
783,0.05668544397,
782,0.05661309883,
781,0.05656636134,
780,0.05563050881,
779,0.0563277863,
778,0.05681264773,
777,0.05791444331,
776,0.05733027309,
775,0.05756874755,
774,0.05768388137,
773,0.0579101257,
772,0.05814501271,
771,0.05882971361,
770,0.05778260157,
769,0.05835358426,
768,0.05842020735,
767,0.05909493566,
766,0.05931945518,
765,0.06018378213,
764,0.05990211666,
763,0.05989165977,
762,0.06040044501,
761,0.0602719225,
760,0.06053314358,
759,0.06067502126,
758,0.06177748367,
757,0.06157620996,
756,0.06148694083,
755,0.06160609797,
754,0.06160451844,
753,0.06264235824,
752,0.06259682029,
751,0.06285713613,
750,0.06327079237,
749,0.06368172169,
748,0.06333784759,
747,0.06406058371,
746,0.06360388547,
745,0.06448787451,
744,0.06419692189,
743,0.06480991095,
742,0.06486049294,
741,0.06562075019,
740,0.06613720953,
739,0.06591501087,
738,0.06639064103,
737,0.0668618083,
736,0.06712757051,
735,0.06719564646,
734,0.06787577271,
733,0.06797965616,
732,0.06745133549,
731,0.06854932755,
730,0.06864596903,
729,0.06893698126,
728,0.06899692863,
727,0.06961421669,
726,0.07023314387,
725,0.07029072195,
724,0.07047914714,
723,0.07064614445,
722,0.07093380392,
721,0.07087299973,
720,0.07135290653,
719,0.07199701667,
718,0.07216839492,
717,0.07231458277,
716,0.07337992638,
715,0.07351573557,
714,0.07308232039,
713,0.07360699028,
712,0.07446633279,
711,0.07394144684,
710,0.07429201901,
709,0.07499415427,
708,0.07529181987,
707,0.07509987801,
706,0.07608772069,
705,0.07567360997,
704,0.07620234787,
703,0.0764683038,
702,0.0768674165,
701,0.07689343393,
700,0.07769228518,
699,0.0781853348,
698,0.07813773304,
697,0.07879558951,
696,0.07887424529,
695,0.07960283011,
694,0.0793248266,
693,0.07983447611,
692,0.07991185784,
691,0.08060082793,
690,0.0810245052,
689,0.0810380131,
688,0.08210752159,
687,0.08232413977,
686,0.08272983134,
685,0.08309393376,
684,0.08304131031,
683,0.08391398191,
682,0.08454423398,
681,0.08472888172,
680,0.08529217541,
679,0.08565720171,
678,0.08654525876,
677,0.08691813797,
676,0.08733077347,
675,0.08776984364,
674,0.08857081831,
673,0.0891437903,
672,0.0900106132,
671,0.09093616158,
670,0.09190244973,
669,0.09219641238,
668,0.09331538528,
667,0.0944051072,
666,0.09564428031,
665,0.09652366489,
664,0.09745080769,
663,0.09801018983,
662,0.09896668792,
661,0.1003891975,
660,0.1020183414,
659,0.1028380096,
658,0.1046256647,
657,0.1060234681,
656,0.1078517213,
655,0.1095051244,
654,0.1115399003,
653,0.113387771,
652,0.1156502441,
651,0.1178948209,
650,0.1197034195,
649,0.1223535016,
648,0.124946706,
647,0.127582714,
646,0.1301862299,
645,0.1329204887,
644,0.1358872205,
643,0.1391867548,
642,0.1424370557,
641,0.1453582048,
640,0.149132356,
639,0.1523367912,
638,0.1565707773,
637,0.1603493392,
636,0.1648964733,
635,0.1691295952,
634,0.1735916138,
633,0.1781964749,
632,0.1824851483,
631,0.1875658184,
630,0.1923126131,
629,0.1970689148,
628,0.2027646452,
627,0.2076243758,
626,0.2125919461,
625,0.2178175598,
624,0.2229031026,
623,0.227857694,
622,0.2335092872,
621,0.2383051515,
620,0.2436877191,
619,0.2484647632,
618,0.2533097863,
617,0.2582060993,
616,0.2630695701,
615,0.267245084,
614,0.2721326351,
613,0.2758925557,
612,0.2797891796,
611,0.2843907773,
610,0.2876118124,
609,0.2911623716,
608,0.2943818569,
607,0.2976616025,
606,0.3008416295,
605,0.3034516573,
604,0.3065255284,
603,0.3096816838,
602,0.3120688796,
601,0.3145277202,
600,0.3169943988,
599,0.3197434843,
598,0.3218850195,
597,0.3244141042,
596,0.3269264698,
595,0.3298552632,
594,0.3323363066,
593,0.3344663084,
592,0.3376154006,
591,0.3405197263,
590,0.3436076641,
589,0.3465006351,
588,0.3503066599,
587,0.3537372053,
586,0.3577471375,
585,0.3617227972,
584,0.3665481806,
583,0.3712586164,
582,0.3764086366,
581,0.3818251193,
580,0.3879131973,
579,0.3943064809,
578,0.4007990956,
577,0.4082447886,
576,0.4160383344,
575,0.4244300425,
574,0.4331722558,
573,0.4426162839,
572,0.4524716437,
571,0.4625335932,
570,0.4730142951,
569,0.4837763608,
568,0.4986619651,
567,0.5077416301,
566,0.519387722,
565,0.5319344997,
564,0.5436896086,
563,0.5553894043,
562,0.5665008426,
561,0.5771046281,
560,0.5881284475,
559,0.5974338055,
558,0.6058682203,
557,0.6126121879,
556,0.619250536,
555,0.6235583425,
554,0.6286035776,
553,0.6311135888,
552,0.6331045032,
551,0.6333404183,
550,0.6336914897,
549,0.6325433254,
548,0.6311482191,
547,0.6298812628,
546,0.627776444,
545,0.6258361936,
544,0.6234461069,
543,0.6219919324,
542,0.6207143664,
541,0.6196702123,
540,0.6187912226,
539,0.6183051467,
538,0.6189033985,
537,0.620577991,
536,0.6226270795,
535,0.6252755523,
534,0.6287909746,
533,0.6331952214,
532,0.6387323141,
531,0.6445917487,
530,0.6516855359,
529,0.6588708758,
528,0.6665297151,
527,0.6749661565,
526,0.6833615303,
525,0.6923585534,
524,0.7017095685,
523,0.7106884122,
522,0.7203936577,
521,0.7299659252,
520,0.7392677665,
519,0.749042809,
518,0.7577707767,
517,0.7674270272,
516,0.776837945,
515,0.7851144075,
514,0.794454813,
513,0.8032525778,
512,0.8115257621,
511,0.8199536204,
510,0.8278442621,
509,0.8360053301,
508,0.8427700996,
507,0.8496754169,
506,0.8551520109,
505,0.8591943979,
504,0.8628222942,
503,0.8657152057,
502,0.866556704,
501,0.8667854667,
500,0.8655729294,
499,0.8640589118,
498,0.8606367707,
497,0.8579230309,
496,0.8537525535,
495,0.8489721417,
494,0.8444424868,
493,0.8403177857,
492,0.8356150389,
491,0.8317281604,
490,0.8283554316,
489,0.8246218562,
488,0.8209906816,
487,0.8176081777,
486,0.8142881989,
485,0.8120219707,
484,0.8090087771,
483,0.8064516783,
482,0.8031441569,
481,0.8015186191,
480,0.7985059023,
479,0.7960361242,
478,0.7937088013,
477,0.7906835079,
476,0.7879402637,
475,0.7841421366,
474,0.7804483771,
473,0.7769313455,
472,0.772205472,
471,0.767539382,
470,0.7617108822,
469,0.7562966347,
468,0.7492812872,
467,0.7425491214,
466,0.7351501584,
465,0.7264931202,
464,0.7183175087,
463,0.7093311548,
462,0.6991204619,
461,0.6898349524,
460,0.6807920337,
459,0.6696456671,
458,0.6606861353,
457,0.6502996683,
456,0.6404500604,
455,0.6305606365,
454,0.6214241982,
453,0.6118938923,
452,0.6029743552,
451,0.5947238803,
450,0.5861445069,
449,0.5778080821,
448,0.5701324344,
447,0.5624687672,
446,0.5562415719,
445,0.5486875772,
444,0.5412929058,
443,0.5339386463,
442,0.5281365514,
441,0.5214238763,
440,0.5150476098,
439,0.508047998,
438,0.5023143291,
437,0.4952703416,
436,0.488696456,
435,0.4826691151,
434,0.4763302803,
433,0.4695429206,
432,0.4630568027,
431,0.456792295,
430,0.4510524273,
429,0.444609791,
428,0.438524574,
427,0.4331748188,
426,0.4279616177,
425,0.4227488041,
424,0.417678386,
423,0.4127995372,
422,0.4082208276,
421,0.4038591087,
420,0.3998890519,
419,0.3959955871,
418,0.3928765953,
417,0.3886756897,
416,0.385900259,
415,0.3836635649,
414,0.3814179599,
413,0.3794108033,
412,0.3778745532,
411,0.3757860661,
410,0.3744487762,
409,0.3724535704,
408,0.3714224398,
407,0.3717151582,
406,0.3705262244,
405,0.3697954416,
404,0.3687809706,
403,0.368527323,
402,0.3690054715,
401,0.3688851595,
400,0.3679372668,
399,0.3683509529,
398,0.368277967,
397,0.3685455918,
396,0.3688554466,
395,0.3685165346,
394,0.3687913716,
393,0.3692067266,
392,0.3695919514,
391,0.3697888553,
390,0.3716262579,
389,0.3721399605,
388,0.3723552227,
387,0.3749038875,
386,0.3771194518,
385,0.3785013258,
384,0.3814534545,
383,0.3830783069,
382,0.3860917389,
381,0.3888047636,
380,0.3885836899,
379,0.3919288516,
378,0.3942809403,
377,0.3950420916,
376,0.3962442577,
375,0.3978778422,
374,0.3975542486,
373,0.3990834355,
372,0.3995063901,
371,0.3994811177,
370,0.3998984993,
369,0.4019224048,
368,0.4001719356,
367,0.4023785889,
366,0.4032885432,
365,0.4043148756,
364,0.4075407982,
363,0.4090799093,
362,0.4103249609,
361,0.4108906388,
360,0.4133504033,
359,0.4126456678,
358,0.4132035375,
357,0.4113469124,
356,0.4170223773,
355,0.4137488306,
354,0.4147077501,
353,0.418810904,
352,0.4123744965,
351,0.4141034484,
350,0.4191347063,
349,0.4169212878,
348,0.4176810682,
347,0.4252205491,
346,0.4143979847,
345,0.4188590348,
344,0.4080716074,
343,0.4086061716,
342,0.4061345458,
341,0.4122444093,
340,0.4046754837,
339,0.4020242989,
338,0.4087464511,
337,0.4112556577,
336,0.4139592648,
335,0.4048413336,
334,0.4101966619,
333,0.400552839,
332,0.3999592066,
331,0.4025109112,
330,0.4053730071,
329,0.39526999,
328,0.395391345,
327,0.3925306201,
326,0.399214536,
325,0.3994565904,
324,0.4071697295,
323,0.403695941,
322,0.4043439329,
321,0.4011013508,
320,0.4019891322,
319,0.407556206,
318,0.4009767473,
317,0.3966574669,
316,0.4090414643,
315,0.4058898687,
314,0.4035272896,
313,0.4103382826,
312,0.4063799381,
311,0.4207116663,
310,0.4230321646,
309,0.4330725968,
308,0.4208596051,
307,0.4448903799,
306,0.4379381835,
305,0.4483521283,
304,0.4527952373,
303,0.4704775512,
302,0.4727190733,
301,0.4947428107,
300,0.4999937415,
299,0.5067207813,
298,0.5233888626,
297,0.5376870632,
296,0.5534175038,
295,0.5606071949,
294,0.5719422102,
293,0.5749713778,
292,0.5785486102,
291,0.5959997177,
290,0.5964183211,
289,0.5964385271,
288,0.6092833877,
287,0.6114047766,
286,0.6152842045,
285,0.6268804073,
284,0.6383301616,
283,0.6629498005,
282,0.6616164446,
281,0.6674218774,
280,0.6826512218,
279,0.6981201172,
278,0.7186297178,
277,0.4479807615,
276,-0.1305510104,
275,-0.3002308905,
274,-0.4689626396,
273,-0.4442210793,
272,-0.3494189382,
271,-0.2683618963,
270,-0.210585624,
269,-0.6150844693,
268,-0.4448676407,
267,-0.4716817141,
266,-0.459617883,
265,-0.4110795557,
264,-0.3908630908,
263,-0.3909305632,
262,-0.4029628336,
261,-0.4194895625,
260,-0.4202301204,
259,-0.4093346298,
258,-0.4102301896,
257,-0.4046376646,
256,-0.4059812427,
255,-0.4068115354,
254,-0.4054102004,
253,-0.4048391581,
252,-0.4080717862,
251,-0.406731993,
250,-0.4110006392,
249,-0.4071083665,
248,-0.4104253352,
247,-0.4068752527,
246,-0.4095810056,
245,-0.4145366251,
244,-0.4130642116,
243,-0.4190351367,
242,-0.4149850011,
241,-0.4191069901,
240,-0.4262085259,
239,-0.43076846,
238,-0.4342119098,
237,-0.4345519543,
236,-0.4400033951,
235,-0.4435467124,
234,-0.4497930706,
233,-0.456130594,
232,-0.4563297331,
231,-0.467921555,
230,-0.4697718322,
229,-0.4740302265,
228,-0.4763070643,
227,-0.4860481024,
226,-0.4921299219,
225,-0.4950481951,
224,-0.5016023517,
223,-0.5090563893,
222,-0.518899858,
221,-0.5230495334,
220,-0.5383416414,
219,-0.5429666042,
218,-0.5495327711,
217,-0.5626972914,
216,-0.5702736974,
215,-0.5840523839,
214,-0.5862220526,
213,-0.6016589999,
212,-0.6049717665,
211,-0.6113731861,
210,-0.617441833,
209,-0.6303818226,
208,-0.6373770833,
207,-0.6472479105,
206,-0.6515110135,
205,-0.666066885,
204,-0.6656950116,
203,-0.6790692806,
202,-0.6858507395,
201,-0.7071688175,
200,-0.7188776135,

JS187_JS16_5E-5_H2O_100_0_100EQ+60MIN,
JS187_JS16_5E-5_H2O_100_0_100EQ+60MIN
Collection Time: 9/14/2023 3:49:14 PM
Operator Name  :
Scan Software Version: 4.20(470)
Parameter List :
Instrument                        Cary 300
Instrument Version                12.00
Start (nm)                        800.00
Stop (nm)                         200.00
X Mode                            Nanometers
Y Mode                            Abs
UV-Vis Scan Rate (nm/min)         600.000
UV-Vis Data Interval (nm)         1.000
UV-Vis Ave. Time (sec)            0.100
UV-Vis SBW (nm)                   2.0
Beam Mode                         Double
Signal-to-noise Mode              Off
UV Source                         On
Vis Source                        On
Source Changeover (nm)            350.00
Baseline Correction               On
Baseline Type                     Baseline correction
Baseline File Name                C:\Users\ISIS\Desktop\Hermans UVVIS Data\Jorge\JS187\20230914\JS187_JS16_5E-5_H2O_100_0_ASPREP.BSW
Baseline Std Ref File Name
Cycle Mode                        Off
Accessory                         Cell changer
Temperature (°C)                  20.07
Comments
Method Log     :
Method Name    :
Date/Time stamp: 9/14/2023 10:25:43 AM
Method Modifications:
Baseline Correction Changed: 9/14/2023 10:27:05 AM, Old:0, New:1
Baseline file Changed: 9/14/2023 10:27:05 AM, Old:, New:C:\Users\ISIS\Desktop\Hermans UVVIS Data\Jorge\JS187\20230913\H2O.CSW
Cell Changer Changed: 9/14/2023 10:27:25 AM, Old:OFF, New:ON
Cell2 Changed: 9/14/2023 10:27:25 AM, Old:ON, New:OFF
Cell3 Changed: 9/14/2023 10:27:25 AM, Old:ON, New:OFF
Cell4 Changed: 9/14/2023 10:27:25 AM, Old:ON, New:OFF
Cell5 Changed: 9/14/2023 10:27:25 AM, Old:ON, New:OFF
Cell6 Changed: 9/14/2023 10:27:25 AM, Old:ON, New:OFF
Auto Temp Setting Changed: 9/14/2023 10:27:25 AM, Old:0, New:1
Block Temp Changed: 9/14/2023 10:27:25 AM, Old:   25.0, New:   20.0
Saved as C:\Users\ISIS\Desktop\Hermans UVVIS Data\Jorge\JS187\20230914\JS187_JS16_5E-5_H2O_0_100_ASPREP.BSWSaved as C:\Users\ISIS\Desktop\Hermans UVVIS Data\Jorge\JS187\20230914\JS187_JS16_5E-5_H2O_2_98_ASPREP.BSWSaved as C:\Users\ISIS\Desktop\Hermans UVVIS Data\Jorge\JS187\20230914\JS187_JS16_5E-5_H2O_4_96_ASPREP.BSWSaved as C:\Users\ISIS\Desktop\Hermans UVVIS Data\Jorge\JS187\20230914\JS187_JS16_5E-5_H2O_6_94_ASPREP.BSWSaved as C:\Users\ISIS\Desktop\Hermans UVVIS Data\Jorge\JS187\20230914\JS187_JS16_5E-5_H2O_8_92_ASPREP.BSWSaved as C:\Users\ISIS\Desktop\Hermans UVVIS Data\Jorge\JS187\20230914\JS187_JS16_5E-5_H2O_10_90_ASPREP.BSWSaved as C:\Users\ISIS\Desktop\Hermans UVVIS Data\Jorge\JS187\20230914\JS187_JS16_5E-5_H2O_15_85_ASPREP.BSWSaved as C:\Users\ISIS\Desktop\Hermans UVVIS Data\Jorge\JS187\20230914\JS187_JS16_5E-5_H2O_20_80_ASPREP.BSWSaved as C:\Users\ISIS\Desktop\Hermans UVVIS Data\Jorge\JS187\20230914\JS187_JS16_5E-5_H2O_30_70_ASPREP.BSWSaved as C:\Users\ISIS\Desktop\Hermans UVVIS Data\Jorge\JS187\20230914\JS187_JS16_5E-5_H2O_40_60_ASPREP.BSWSaved as C:\Users\ISIS\Desktop\Hermans UVVIS Data\Jorge\JS187\20230914\JS187_JS16_5E-5_H2O_50_50_ASPREP.BSWSaved as C:\Users\ISIS\Desktop\Hermans UVVIS Data\Jorge\JS187\20230914\JS187_JS16_5E-5_H2O_100_0_ASPREP.BSWSaved as C:\Users\ISIS\Desktop\Hermans UVVIS Data\Jorge\JS187\20230914\JS187_JS16_5E-5_H2O_100_0_100EQ+60MIN.BSW
End Method Modifications
<Current Block Temp> , 20.02
<Current Cell> , 1
<SBW (nm)> , 2.00
<Energy> , 205.00
<Current Wavelength> , 200.00

