JS187_JS16_5E-5_H2O_0_100_100EQ+60MIN,,
Wavelength (nm),Abs,
800,0.1274399906,
799,0.1270954758,
798,0.1276736706,
797,0.1264223307,
796,0.1279705614,
795,0.1287049651,
794,0.1289220601,
793,0.1288876086,
792,0.1302286386,
791,0.1292982101,
790,0.1300868541,
789,0.1300774962,
788,0.1299149394,
787,0.1305007488,
786,0.1301765591,
785,0.1311318129,
784,0.1320202649,
783,0.1318063885,
782,0.1322268099,
781,0.1321851164,
780,0.1320494562,
779,0.1328683943,
778,0.1333620548,
777,0.1341874897,
776,0.1345715076,
775,0.1353916824,
774,0.134405151,
773,0.1355260164,
772,0.1357615143,
771,0.1361997724,
770,0.1355319619,
769,0.1366765648,
768,0.1363888979,
767,0.1375670284,
766,0.1376415044,
765,0.1380290985,
764,0.1382431388,
763,0.1385489851,
762,0.1390735358,
761,0.1394445896,
760,0.1394764632,
759,0.1402877569,
758,0.1408164501,
757,0.1406252533,
756,0.1412031651,
755,0.1422450989,
754,0.1412050575,
753,0.1417655498,
752,0.142480284,
751,0.143007949,
750,0.1427744627,
749,0.1438257396,
748,0.1436891705,
747,0.1442369521,
746,0.1437034458,
745,0.1450979859,
744,0.145470649,
743,0.1463945806,
742,0.1462572813,
741,0.1467086226,
740,0.1468302011,
739,0.147174269,
738,0.1471869946,
737,0.148514986,
736,0.148296833,
735,0.1485301405,
734,0.1494150758,
733,0.1497828662,
732,0.149320215,
731,0.1503091753,
730,0.1503832787,
729,0.1511963755,
728,0.1514368653,
727,0.1521130055,
726,0.152540639,
725,0.1528322995,
724,0.1532944739,
723,0.1535667181,
722,0.1541801244,
721,0.1539682001,
720,0.1547429413,
719,0.1554292142,
718,0.1557802409,
717,0.1559495479,
716,0.1569536477,
715,0.1571335942,
714,0.1575849652,
713,0.1580949873,
712,0.1587405801,
711,0.1594263613,
710,0.1590641886,
709,0.1599278152,
708,0.1606217325,
707,0.1605650038,
706,0.1613655239,
705,0.161807254,
704,0.1617816389,
703,0.1630715728,
702,0.1634937525,
701,0.1640375406,
700,0.1642848253,
699,0.1654421389,
698,0.1657666564,
697,0.1663226932,
696,0.1669345498,
695,0.167579636,
694,0.1678352356,
693,0.1681054384,
692,0.1684250534,
691,0.1693843007,
690,0.1697378457,
689,0.1707864702,
688,0.171557337,
687,0.1717839539,
686,0.1724497229,
685,0.1729531884,
684,0.1732821912,
683,0.1742342263,
682,0.1748125851,
681,0.1752946973,
680,0.1761034727,
679,0.1766194105,
678,0.1767845452,
677,0.1777961105,
676,0.1783441156,
675,0.1786690503,
674,0.1793227792,
673,0.1799324006,
672,0.1807795912,
671,0.1811890006,
670,0.1819383949,
669,0.1828025877,
668,0.1829414964,
667,0.1843182147,
666,0.1846337616,
665,0.1857250035,
664,0.1865268499,
663,0.1872983724,
662,0.1872492135,
661,0.1881946325,
660,0.1892782748,
659,0.189744547,
658,0.1906441003,
657,0.1916163564,
656,0.1925492436,
655,0.1930385828,
654,0.1937624067,
653,0.1948252916,
652,0.1954853833,
651,0.1967328489,
650,0.1974313408,
649,0.1984008104,
648,0.1990462244,
647,0.2002741247,
646,0.2007621527,
645,0.2019900084,
644,0.2028850466,
643,0.2038175762,
642,0.2049455941,
641,0.2059960961,
640,0.2072335333,
639,0.2077881694,
638,0.2091909349,
637,0.2103565186,
636,0.2115152329,
635,0.2125179619,
634,0.2142018676,
633,0.2152429521,
632,0.2162384093,
631,0.2177396417,
630,0.2190136164,
629,0.2203262001,
628,0.2219948471,
627,0.2235718369,
626,0.2251518369,
625,0.2267384082,
624,0.2280928791,
623,0.2298330814,
622,0.2318257093,
621,0.2329842597,
620,0.2354998738,
619,0.2375661433,
618,0.2391083837,
617,0.2409871966,
616,0.2431979626,
615,0.2453348041,
614,0.2480956614,
613,0.2502626479,
612,0.2525158525,
611,0.2556180358,
610,0.2580297887,
609,0.2607287467,
608,0.2634175122,
607,0.2668826878,
606,0.2700796723,
605,0.2729712129,
604,0.2768206,
603,0.2810924947,
602,0.2841873765,
601,0.2884031832,
600,0.2927906215,
599,0.297650516,
598,0.3023839295,
597,0.3075001538,
596,0.3130161762,
595,0.3193669915,
594,0.3255439997,
593,0.3319475353,
592,0.3391332626,
591,0.3468066156,
590,0.3548185229,
589,0.3628542721,
588,0.3720118999,
587,0.3815221786,
586,0.3908265531,
585,0.4010363817,
584,0.4113494754,
583,0.4223847091,
582,0.4327901304,
581,0.4438831508,
580,0.4551604986,
579,0.4657743275,
578,0.4758946896,
577,0.4857670069,
576,0.494861275,
575,0.5031083226,
574,0.51025033,
573,0.516364038,
572,0.5213582516,
571,0.5250980854,
570,0.5275429487,
569,0.5292529464,
568,0.5306181312,
567,0.5299966931,
566,0.5287277699,
565,0.5269992352,
564,0.5251578093,
563,0.5229073167,
562,0.5207539797,
561,0.5186825991,
560,0.5177867413,
559,0.5165728927,
558,0.5163850188,
557,0.5159254074,
556,0.5168766975,
555,0.5184013844,
554,0.5216269493,
553,0.5249488354,
552,0.5290993452,
551,0.533634603,
550,0.53992033,
549,0.5469785333,
548,0.5546476841,
547,0.563614428,
546,0.5723754168,
545,0.5821561217,
544,0.5918052197,
543,0.6021929979,
542,0.6127231121,
541,0.6229397655,
540,0.6338490844,
539,0.6431381702,
538,0.6525758505,
537,0.6608868241,
536,0.6687490344,
535,0.6753658056,
534,0.680621624,
533,0.6845194697,
532,0.6879466772,
531,0.6904050112,
530,0.6914173961,
529,0.6907173991,
528,0.6902494431,
527,0.6886535287,
526,0.6862286329,
525,0.6843678355,
524,0.681589067,
523,0.6793117523,
522,0.6767216921,
521,0.6750972271,
520,0.673794806,
519,0.6727572083,
518,0.671595335,
517,0.6718992591,
516,0.6720964909,
515,0.672580719,
514,0.673571825,
513,0.6754609346,
512,0.6764563322,
511,0.6778846979,
510,0.6791340709,
509,0.6805186868,
508,0.6812491417,
507,0.6819093227,
506,0.6812798381,
505,0.680742681,
504,0.6779764891,
503,0.6750689745,
502,0.6708855629,
501,0.6661006212,
500,0.6606886387,
499,0.6540135145,
498,0.6466957927,
497,0.6382880807,
496,0.6296341419,
495,0.6208834052,
494,0.6115017533,
493,0.6013221145,
492,0.5919942856,
491,0.5822826028,
490,0.5732185245,
489,0.5640056729,
488,0.5545099378,
487,0.5460948348,
486,0.5379817486,
485,0.5302303433,
484,0.522854805,
483,0.5158408284,
482,0.5090776682,
481,0.5030499697,
480,0.4972513914,
479,0.4915750027,
478,0.4860721827,
477,0.4802891016,
476,0.4754565656,
475,0.469502151,
474,0.4644173086,
473,0.4595342577,
472,0.4535222054,
471,0.4481739402,
470,0.4425021112,
469,0.4365847707,
468,0.4306080043,
467,0.4250725508,
466,0.419293046,
465,0.4125838578,
464,0.4068357944,
463,0.4009318352,
462,0.3945955932,
461,0.3893525302,
460,0.3835376203,
459,0.3780762255,
458,0.3731888533,
457,0.3681135476,
456,0.3634001911,
455,0.3593227267,
454,0.3550540507,
453,0.3511019349,
452,0.3475157619,
451,0.3438381255,
450,0.3406729102,
449,0.3372318447,
448,0.3345726728,
447,0.3316265047,
446,0.3291631043,
445,0.3262013197,
444,0.323938638,
443,0.3213969469,
442,0.3186945617,
441,0.3164137006,
440,0.3134644926,
439,0.3120889366,
438,0.3103135526,
437,0.3076249957,
436,0.3056633174,
435,0.3035550416,
434,0.301202625,
433,0.2999132574,
432,0.2985643148,
431,0.2970094085,
430,0.2957534194,
429,0.2942926884,
428,0.2936865687,
427,0.2922943234,
426,0.2919979095,
425,0.2910728455,
424,0.2909608185,
423,0.2904676497,
422,0.2902646363,
421,0.2899951637,
420,0.2897171974,
419,0.2900000215,
418,0.2900318205,
417,0.2899125516,
416,0.2899998724,
415,0.2906318009,
414,0.2916211784,
413,0.2918884456,
412,0.2928677201,
411,0.2931046486,
410,0.2940850258,
409,0.2949706316,
408,0.2960007489,
407,0.2967240512,
406,0.2977178693,
405,0.2995936275,
404,0.2996567488,
403,0.301461041,
402,0.3037082255,
401,0.30436185,
400,0.3054892123,
399,0.3076156974,
398,0.3088265955,
397,0.3108749688,
396,0.3124020994,
395,0.3130451143,
394,0.314417541,
393,0.3173887432,
392,0.3191789091,
391,0.320790261,
390,0.323679477,
389,0.3251627982,
388,0.3268954754,
387,0.3293564916,
386,0.3316974044,
385,0.3344783783,
384,0.338342011,
383,0.3401860297,
382,0.3417595625,
381,0.3456300497,
380,0.346889019,
379,0.3496444821,
378,0.3522800803,
377,0.3536465764,
376,0.3545087278,
375,0.3570856452,
374,0.3588371575,
373,0.3607316315,
372,0.3625076711,
371,0.3646316826,
370,0.3652167022,
369,0.3693124056,
368,0.3705486059,
367,0.3729673624,
366,0.3744696379,
365,0.3770467937,
364,0.379640311,
363,0.3824161887,
362,0.3835767508,
361,0.3882561624,
360,0.3882255554,
359,0.3915939033,
358,0.3936390579,
357,0.3960780203,
356,0.399102211,
355,0.4002286196,
354,0.4021997154,
353,0.4088013172,
352,0.4032648802,
351,0.412861228,
350,0.4203694761,
349,0.415984273,
348,0.4177476466,
347,0.431650281,
346,0.4279571772,
345,0.4293249846,
344,0.4310415089,
343,0.4228003025,
342,0.4255133867,
341,0.4365799725,
340,0.4368262291,
339,0.4369119108,
338,0.4429128468,
337,0.4395177364,
336,0.4487238824,
335,0.4504789114,
334,0.4465405643,
333,0.4489803016,
332,0.4648951292,
331,0.4602999389,
330,0.4640281796,
329,0.4636654258,
328,0.4670571387,
327,0.4760225713,
326,0.4788661897,
325,0.4766420126,
324,0.4803104997,
323,0.4949067831,
322,0.488807112,
321,0.4971639216,
320,0.4970493317,
319,0.5064098835,
318,0.5046308041,
317,0.506275773,
316,0.5240037441,
315,0.5145539045,
314,0.5304452181,
313,0.5295117497,
312,0.5221228004,
311,0.5425279737,
310,0.5466204286,
309,0.5497378111,
308,0.558781445,
307,0.5715023875,
306,0.5765384436,
305,0.5797423124,
304,0.5939285755,
303,0.5974609852,
302,0.6091606021,
301,0.615675211,
300,0.6254353523,
299,0.6308405399,
298,0.6378819942,
297,0.6540588737,
296,0.657135427,
295,0.6622411609,
294,0.6631947756,
293,0.6745452881,
292,0.6799708009,
291,0.6905128956,
290,0.6879962087,
289,0.6985934377,
288,0.7066370249,
287,0.7177593112,
286,0.7169284821,
285,0.7287071347,
284,0.7298309207,
283,0.7331390977,
282,0.7452066541,
281,0.7572386861,
280,0.7638628483,
279,0.7678016424,
278,0.7842196226,
277,0.792247951,
276,0.7934067249,
275,0.8084421754,
274,0.8142244816,
273,0.8308014274,
272,0.8493815064,
271,0.851413548,
270,0.8709027767,
269,0.8917628527,
268,0.9089438915,
267,0.9210703969,
266,0.9432301521,
265,0.9743642211,
264,0.9888832569,
263,1.018685699,
262,1.034979701,
261,1.065665245,
260,1.097852468,
259,1.13150394,
258,1.145470738,
257,1.198058009,
256,1.228772163,
255,1.280216455,
254,1.322315097,
253,1.379968524,
252,1.428539157,
251,1.487765193,
250,1.543530345,
249,1.629983783,
248,1.706222177,
247,1.802306294,
246,1.870720506,
245,1.972453356,
244,2.102526426,
243,2.185655594,
242,2.367125034,
241,2.45604825,
240,2.65175581,
239,2.827186346,
238,2.801131964,
237,2.978476763,
236,3.103638411,
235,3.25940609,
234,3.511846066,
233,3.786777973,
232,3.853038073,
231,3.742647171,
230,3.693469048,
229,3.735648155,
228,3.724843025,
227,4.001214027,
226,3.499803543,
225,4.4945364,
224,3.639815331,
223,3.973332167,
222,3.606234074,
221,10,
220,4.000196457,
219,3.450591326,
218,3.551895857,
217,10,
216,3.801928043,
215,3.975921631,
214,3.601336479,
213,3.295896053,
212,3.422274351,
211,3.415035486,
210,3.24990797,
209,3.388304472,
208,3.552135706,
207,3.70158124,
206,3.154146433,
205,3.155941486,
204,10,
203,3.20007205,
202,3.800963879,
201,3.671820402,
200,3.055918217,

JS187_JS16_5E-5_H2O_0_100_100EQ+60MIN,
JS187_JS16_5E-5_H2O_0_100_100EQ+60MIN
Collection Time: 9/14/2023 4:23:33 PM
Operator Name  :
Scan Software Version: 4.20(470)
Parameter List :
Instrument                        Cary 300
Instrument Version                12.00
Start (nm)                        800.00
Stop (nm)                         200.00
X Mode                            Nanometers
Y Mode                            Abs
UV-Vis Scan Rate (nm/min)         600.000
UV-Vis Data Interval (nm)         1.000
UV-Vis Ave. Time (sec)            0.100
UV-Vis SBW (nm)                   2.0
Beam Mode                         Double
Signal-to-noise Mode              Off
UV Source                         On
Vis Source                        On
Source Changeover (nm)            350.00
Baseline Correction               On
Baseline Type                     Baseline correction
Baseline File Name                C:\Users\ISIS\Desktop\Hermans UVVIS Data\Jorge\JS187\20230914\JS187_JS16_5E-5_H2O_2_98_100EQ+60MIN.BSW
Baseline Std Ref File Name
Cycle Mode                        Off
Accessory                         Cell changer
Temperature (°C)                  20.02
Comments
Method Log     :
Method Name    :
Date/Time stamp: 9/14/2023 10:25:43 AM
Method Modifications:
Baseline Correction Changed: 9/14/2023 10:27:05 AM, Old:0, New:1
Baseline file Changed: 9/14/2023 10:27:05 AM, Old:, New:C:\Users\ISIS\Desktop\Hermans UVVIS Data\Jorge\JS187\20230913\H2O.CSW
Cell Changer Changed: 9/14/2023 10:27:25 AM, Old:OFF, New:ON
Cell2 Changed: 9/14/2023 10:27:25 AM, Old:ON, New:OFF
Cell3 Changed: 9/14/2023 10:27:25 AM, Old:ON, New:OFF
Cell4 Changed: 9/14/2023 10:27:25 AM, Old:ON, New:OFF
Cell5 Changed: 9/14/2023 10:27:25 AM, Old:ON, New:OFF
Cell6 Changed: 9/14/2023 10:27:25 AM, Old:ON, New:OFF
Auto Temp Setting Changed: 9/14/2023 10:27:25 AM, Old:0, New:1
Block Temp Changed: 9/14/2023 10:27:25 AM, Old:   25.0, New:   20.0
Saved as C:\Users\ISIS\Desktop\Hermans UVVIS Data\Jorge\JS187\20230914\JS187_JS16_5E-5_H2O_0_100_ASPREP.BSWSaved as C:\Users\ISIS\Desktop\Hermans UVVIS Data\Jorge\JS187\20230914\JS187_JS16_5E-5_H2O_2_98_ASPREP.BSWSaved as C:\Users\ISIS\Desktop\Hermans UVVIS Data\Jorge\JS187\20230914\JS187_JS16_5E-5_H2O_4_96_ASPREP.BSWSaved as C:\Users\ISIS\Desktop\Hermans UVVIS Data\Jorge\JS187\20230914\JS187_JS16_5E-5_H2O_6_94_ASPREP.BSWSaved as C:\Users\ISIS\Desktop\Hermans UVVIS Data\Jorge\JS187\20230914\JS187_JS16_5E-5_H2O_8_92_ASPREP.BSWSaved as C:\Users\ISIS\Desktop\Hermans UVVIS Data\Jorge\JS187\20230914\JS187_JS16_5E-5_H2O_10_90_ASPREP.BSWSaved as C:\Users\ISIS\Desktop\Hermans UVVIS Data\Jorge\JS187\20230914\JS187_JS16_5E-5_H2O_15_85_ASPREP.BSWSaved as C:\Users\ISIS\Desktop\Hermans UVVIS Data\Jorge\JS187\20230914\JS187_JS16_5E-5_H2O_20_80_ASPREP.BSWSaved as C:\Users\ISIS\Desktop\Hermans UVVIS Data\Jorge\JS187\20230914\JS187_JS16_5E-5_H2O_30_70_ASPREP.BSWSaved as C:\Users\ISIS\Desktop\Hermans UVVIS Data\Jorge\JS187\20230914\JS187_JS16_5E-5_H2O_40_60_ASPREP.BSWSaved as C:\Users\ISIS\Desktop\Hermans UVVIS Data\Jorge\JS187\20230914\JS187_JS16_5E-5_H2O_50_50_ASPREP.BSWSaved as C:\Users\ISIS\Desktop\Hermans UVVIS Data\Jorge\JS187\20230914\JS187_JS16_5E-5_H2O_100_0_ASPREP.BSWSaved as C:\Users\ISIS\Desktop\Hermans UVVIS Data\Jorge\JS187\20230914\JS187_JS16_5E-5_H2O_100_0_100EQ+60MIN.BSWSaved as C:\Users\ISIS\Desktop\Hermans UVVIS Data\Jorge\JS187\20230914\JS187_JS16_5E-5_H2O_50_50_100EQ+60MIN.BSWSaved as C:\Users\ISIS\Desktop\Hermans UVVIS Data\Jorge\JS187\20230914\JS187_JS16_5E-5_H2O_40_60_100EQ+60MIN.BSWSaved as C:\Users\ISIS\Desktop\Hermans UVVIS Data\Jorge\JS187\20230914\JS187_JS16_5E-5_H2O_30_70_100EQ+60MIN.BSWSaved as C:\Users\ISIS\Desktop\Hermans UVVIS Data\Jorge\JS187\20230914\JS187_JS16_5E-5_H2O_20_80_100EQ+60MIN.BSWSaved as C:\Users\ISIS\Desktop\Hermans UVVIS Data\Jorge\JS187\20230914\JS187_JS16_5E-5_H2O_15_85_100EQ+60MIN.BSWSaved as C:\Users\ISIS\Desktop\Hermans UVVIS Data\Jorge\JS187\20230914\JS187_JS16_5E-5_H2O_10_90_100EQ+60MIN.BSWSaved as C:\Users\ISIS\Desktop\Hermans UVVIS Data\Jorge\JS187\20230914\JS187_JS16_5E-5_H2O_8_92_100EQ+60MIN.BSWSaved as C:\Users\ISIS\Desktop\Hermans UVVIS Data\Jorge\JS187\20230914\JS187_JS16_5E-5_H2O_6_94_100EQ+60MIN.BSWSaved as C:\Users\ISIS\Desktop\Hermans UVVIS Data\Jorge\JS187\20230914\JS187_JS16_5E-5_H2O_4_96_100EQ+60MIN.BSWSaved as C:\Users\ISIS\Desktop\Hermans UVVIS Data\Jorge\JS187\20230914\JS187_JS16_5E-5_H2O_2_98_100EQ+60MIN.BSWSaved as C:\Users\ISIS\Desktop\Hermans UVVIS Data\Jorge\JS187\20230914\JS187_JS16_5E-5_H2O_0_100_100EQ+60MIN.BSW
End Method Modifications
<Current Block Temp> , 19.97
<Current Cell> , 1
<SBW (nm)> , 2.00
<Energy> , 241.00
<Current Wavelength> , 200.00

